                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3054,                0.94412,                 1.4145,                0.94624,                0.94828,                0.96538,                0.57895,                 1.4236,                0.67443,                 1.5158,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.303,                0.92329,                 1.4002,                0.95145,                0.93103,                0.95563,                0.60395,                  1.371,                0.65521,                 1.4414,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2984,                0.91908,                 1.4059,                0.94963,                0.93966,                0.98242,                0.55554,                 1.4783,                0.63387,                  1.488,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2907,                0.86645,                 1.4011,                0.93636,                0.96552,                0.96516,                0.56006,                 1.4214,                0.62299,                 1.4718,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3223,                0.88148,                 1.4063,                 0.9493,                0.91379,                0.96687,                0.59219,                   1.38,                0.65861,                  1.455,                0.00101,                0.00101,                0.00101
                     53,                 1.2985,                0.88817,                 1.4216,                0.94851,                0.96552,                0.98603,                0.59785,                 1.3961,                0.61577,                 1.4679,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2493,                0.88398,                 1.3842,                0.90352,                0.93966,                0.93721,                0.52721,                 1.4974,                 0.6668,                 1.5945,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2724,                0.88861,                 1.3925,                0.94031,                0.96552,                0.96141,                0.58087,                 1.3878,                0.61694,                 1.5033,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2561,                0.86189,                 1.3658,                0.93046,                0.94828,                0.97529,                0.56812,                  1.527,                0.63017,                 1.5995,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3021,                 0.8932,                 1.4113,                0.96103,                 0.9569,                0.97812,                0.60568,                 1.3472,                0.62031,                 1.4406,               0.000911,               0.000911,               0.000911
                     58,                  1.307,                0.90354,                 1.4111,                 0.9735,                 0.9569,                0.98587,                 0.5837,                 1.4302,                0.60736,                 1.4707,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2657,                0.87543,                 1.3969,                0.96485,                 0.9569,                0.98084,                0.58768,                 1.4211,                0.61839,                 1.4694,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2855,                0.90593,                 1.4058,                0.92575,                0.96737,                0.97183,                0.60152,                 1.3724,                0.61053,                 1.4871,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.238,                0.80542,                 1.3498,                0.94046,                0.95313,                 0.9702,                0.55758,                 1.4567,                0.62904,                 1.6006,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.264,                0.85431,                  1.397,                0.96173,                 0.9569,                0.98925,                0.59751,                 1.4167,                0.60772,                 1.4466,               0.000812,               0.000812,               0.000812
                     63,                 1.1984,                0.80778,                 1.3362,                0.97119,                0.99138,                0.99423,                0.56856,                 1.5055,                0.59179,                 1.4998,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2217,                0.81642,                 1.3421,                0.94141,                0.94828,                0.96322,                0.57191,                 1.3983,                0.59174,                 1.5241,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2271,                0.78617,                 1.3661,                0.94901,                 0.9627,                0.97041,                0.59697,                 1.3646,                  0.559,                 1.4758,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2062,                0.77077,                 1.3437,                 0.9737,                0.99138,                0.99432,                0.58885,                 1.4431,                0.57232,                 1.4873,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.196,                0.79729,                 1.3484,                0.95722,                0.96445,                0.97835,                0.59413,                 1.4514,                0.60195,                  1.533,               0.000713,               0.000713,               0.000713
                     68,                 1.1725,                0.75578,                 1.3265,                0.97363,                0.95496,                0.96618,                0.60825,                 1.3622,                0.56819,                 1.5008,              0.0006932,              0.0006932,              0.0006932
